Leon Army
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
InfantryUnit,Lion,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
RangedUnit,Scout,10,25,5
